"year","시도","시군구","발전소명","연료","발전방식","용량_kW","발전량_MWh"
2020,"경기","포천시","hydro","수력","hydro",0,0
2020,"경기","포천시","ocean","해양","ocean",0,0
2020,"경기","포천시","waste","폐기물","waste",0,0
2020,"경기","포천시","wind","풍력","wind",0,0
2020,"경기","하남시","IGCC","IGCC","IGCC",0,0
2020,"경기","하남시","PV","태양광","PV",0,11508.4463041296
2020,"경기","하남시","bio","바이오","bio",0,0
2020,"경기","하남시","fuelcell","연료전지","fuelcell",0,15.9117545045612
2020,"경기","하남시","hydro","수력","hydro",0,0
2020,"경기","하남시","ocean","해양","ocean",0,0
2020,"경기","하남시","waste","폐기물","waste",0,0
2020,"경기","하남시","wind","풍력","wind",0,0
2020,"경기","화성시","IGCC","IGCC","IGCC",0,0
2020,"경기","화성시","PV","태양광","PV",0,172355.82004976
2020,"경기","화성시","bio","바이오","bio",0,0
2020,"경기","화성시","fuelcell","연료전지","fuelcell",0,545134.76655304
2020,"경기","화성시","hydro","수력","hydro",0,0
2020,"경기","화성시","ocean","해양","ocean",0,0
2020,"경기","화성시","waste","폐기물","waste",0,6348.37052139917
2020,"경기","화성시","wind","풍력","wind",0,0
2021,"경기","가평군","IGCC","IGCC","IGCC",0,0
2021,"경기","가평군","PV","태양광","PV",0,46801.4948875449
2021,"경기","가평군","bio","바이오","bio",0,0
2021,"경기","가평군","fuelcell","연료전지","fuelcell",0,0
2021,"경기","가평군","hydro","수력","hydro",0,210447
2021,"경기","가평군","ocean","해양","ocean",0,0
2021,"경기","가평군","waste","폐기물","waste",0,0
2021,"경기","가평군","wind","풍력","wind",0,2.84016446542488
2021,"경기","고양시","IGCC","IGCC","IGCC",0,0
2021,"경기","고양시","PV","태양광","PV",0,45045.6894179928
2021,"경기","고양시","bio","바이오","bio",0,10851.895339
2021,"경기","고양시","fuelcell","연료전지","fuelcell",0,40739.388
2021,"경기","고양시","hydro","수력","hydro",0,433.05834
2021,"경기","고양시","ocean","해양","ocean",0,0
2021,"경기","고양시","waste","폐기물","waste",0,4661.31773137559
2021,"경기","고양시","wind","풍력","wind",0,0
2021,"경기","과천시","IGCC","IGCC","IGCC",0,0
2021,"경기","과천시","PV","태양광","PV",0,1955.27030497433
2021,"경기","과천시","bio","바이오","bio",0,0
2021,"경기","과천시","fuelcell","연료전지","fuelcell",0,13.0127117465572
2021,"경기","과천시","hydro","수력","hydro",0,0
2021,"경기","과천시","ocean","해양","ocean",0,0
2021,"경기","과천시","waste","폐기물","waste",0,0
2021,"경기","과천시","wind","풍력","wind",0,0
2021,"경기","광명시","IGCC","IGCC","IGCC",0,0
2021,"경기","광명시","PV","태양광","PV",0,8870.9939068255
2021,"경기","광명시","bio","바이오","bio",0,0
2021,"경기","광명시","fuelcell","연료전지","fuelcell",0,17448.0131203251
2021,"경기","광명시","hydro","수력","hydro",0,0
2021,"경기","광명시","ocean","해양","ocean",0,0
2021,"경기","광명시","waste","폐기물","waste",0,0
2021,"경기","광명시","wind","풍력","wind",0,0
2021,"경기","광주시","IGCC","IGCC","IGCC",0,0
2021,"경기","광주시","PV","태양광","PV",0,46768.5537820753
2021,"경기","광주시","bio","바이오","bio",0,0
2021,"경기","광주시","fuelcell","연료전지","fuelcell",0,331.824149537209
2021,"경기","광주시","hydro","수력","hydro",0,0
2021,"경기","광주시","ocean","해양","ocean",0,0
2021,"경기","광주시","waste","폐기물","waste",0,4221.79301917253
2021,"경기","광주시","wind","풍력","wind",0,0
2021,"경기","구리시","IGCC","IGCC","IGCC",0,0
2021,"경기","구리시","PV","태양광","PV",0,5484.82033237219
2021,"경기","구리시","bio","바이오","bio",0,0
2021,"경기","구리시","fuelcell","연료전지","fuelcell",0,0
2021,"경기","구리시","hydro","수력","hydro",0,48.317
2021,"경기","구리시","ocean","해양","ocean",0,0
2021,"경기","구리시","waste","폐기물","waste",0,1245.40329899016
2021,"경기","구리시","wind","풍력","wind",0,0
2021,"경기","군포시","IGCC","IGCC","IGCC",0,0
2021,"경기","군포시","PV","태양광","PV",0,6293.51020128382
2021,"경기","군포시","bio","바이오","bio",0,0
2021,"경기","군포시","fuelcell","연료전지","fuelcell",0,260.254234931145
2021,"경기","군포시","hydro","수력","hydro",0,0
2021,"경기","군포시","ocean","해양","ocean",0,0
2021,"경기","군포시","waste","폐기물","waste",0,0
2021,"경기","군포시","wind","풍력","wind",0,0
2021,"경기","김포시","IGCC","IGCC","IGCC",0,0
2021,"경기","김포시","PV","태양광","PV",0,69113.1028541161
2021,"경기","김포시","bio","바이오","bio",0,0
2021,"경기","김포시","fuelcell","연료전지","fuelcell",0,159.405718895326
2021,"경기","김포시","hydro","수력","hydro",0,0
2021,"경기","김포시","ocean","해양","ocean",0,0
2021,"경기","김포시","waste","폐기물","waste",0,0
2021,"경기","김포시","wind","풍력","wind",0,0
2021,"경기","남양주시","IGCC","IGCC","IGCC",0,0
2021,"경기","남양주시","PV","태양광","PV",0,38581.9145110464
2021,"경기","남양주시","bio","바이오","bio",0,0
2021,"경기","남양주시","fuelcell","연료전지","fuelcell",0,71.5699146060648
2021,"경기","남양주시","hydro","수력","hydro",0,328383
2021,"경기","남양주시","ocean","해양","ocean",0,0
2021,"경기","남양주시","waste","폐기물","waste",0,1327.04870661115
2021,"경기","남양주시","wind","풍력","wind",0,0
2021,"경기","동두천시","IGCC","IGCC","IGCC",0,0
2021,"경기","동두천시","PV","태양광","PV",0,10275.2565631105
2021,"경기","동두천시","bio","바이오","bio",0,9349.844784
2021,"경기","동두천시","fuelcell","연료전지","fuelcell",0,0
2021,"경기","동두천시","hydro","수력","hydro",0,0
2021,"경기","동두천시","ocean","해양","ocean",0,0
2021,"경기","동두천시","waste","폐기물","waste",0,0
2021,"경기","동두천시","wind","풍력","wind",0,0
2021,"경기","부천시","IGCC","IGCC","IGCC",0,0
2021,"경기","부천시","PV","태양광","PV",0,11766.9386912864
2021,"경기","부천시","bio","바이오","bio",0,8062
2021,"경기","부천시","fuelcell","연료전지","fuelcell",0,80193.3986274959
2021,"경기","부천시","hydro","수력","hydro",0,0
2021,"경기","부천시","ocean","해양","ocean",0,0
2021,"경기","부천시","waste","폐기물","waste",0,5.38776801559803
2021,"경기","부천시","wind","풍력","wind",0,0
2021,"경기","성남시","IGCC","IGCC","IGCC",0,0
2021,"경기","성남시","PV","태양광","PV",0,23075.7440194569
2021,"경기","성남시","bio","바이오","bio",0,0
2021,"경기","성남시","fuelcell","연료전지","fuelcell",0,241287.685366694
2021,"경기","성남시","hydro","수력","hydro",0,4015.763587
2021,"경기","성남시","ocean","해양","ocean",0,0
2021,"경기","성남시","waste","폐기물","waste",0,0
2021,"경기","성남시","wind","풍력","wind",0,0
2021,"경기","수원시","IGCC","IGCC","IGCC",0,0
2021,"경기","수원시","PV","태양광","PV",0,34304.8011712745
2021,"경기","수원시","bio","바이오","bio",0,0
2021,"경기","수원시","fuelcell","연료전지","fuelcell",0,1128.85274401384
2021,"경기","수원시","hydro","수력","hydro",0,0
2021,"경기","수원시","ocean","해양","ocean",0,0
2021,"경기","수원시","waste","폐기물","waste",0,0.255751131045036
2021,"경기","수원시","wind","풍력","wind",0,0
2021,"경기","시흥시","IGCC","IGCC","IGCC",0,0
2021,"경기","시흥시","PV","태양광","PV",0,42007.2032715598
2021,"경기","시흥시","bio","바이오","bio",0,0
2021,"경기","시흥시","fuelcell","연료전지","fuelcell",0,41795.5544631764
2021,"경기","시흥시","hydro","수력","hydro",0,0
2021,"경기","시흥시","ocean","해양","ocean",0,0
2021,"경기","시흥시","waste","폐기물","waste",0,3718.27215015958
2021,"경기","시흥시","wind","풍력","wind",0,0
2021,"경기","안산시","IGCC","IGCC","IGCC",0,0
2021,"경기","안산시","PV","태양광","PV",0,42582.0899951128
2021,"경기","안산시","bio","바이오","bio",0,9971.1264
2021,"경기","안산시","fuelcell","연료전지","fuelcell",0,18343.9108079615
2021,"경기","안산시","hydro","수력","hydro",0,0
2021,"경기","안산시","ocean","해양","ocean",0,454961.31391
2021,"경기","안산시","waste","폐기물","waste",0,8227.78013182695
2021,"경기","안산시","wind","풍력","wind",0,4613.21591633546
2021,"경기","안성시","IGCC","IGCC","IGCC",0,0
2021,"경기","안성시","PV","태양광","PV",0,141889.82418599
2021,"경기","안성시","bio","바이오","bio",0,0
2021,"경기","안성시","fuelcell","연료전지","fuelcell",0,198.443854134998
2021,"경기","안성시","hydro","수력","hydro",0,326.892
2021,"경기","안성시","ocean","해양","ocean",0,0
2021,"경기","안성시","waste","폐기물","waste",0,0
2021,"경기","안성시","wind","풍력","wind",0,1.136
2021,"경기","안양시","IGCC","IGCC","IGCC",0,0
2021,"경기","안양시","PV","태양광","PV",0,7406.81194727228
2021,"경기","안양시","bio","바이오","bio",0,1019.3208
2021,"경기","안양시","fuelcell","연료전지","fuelcell",0,17054.9924456377
2021,"경기","안양시","hydro","수력","hydro",0,983.492
2021,"경기","안양시","ocean","해양","ocean",0,0
2021,"경기","안양시","waste","폐기물","waste",0,6210.65342904374
2021,"경기","안양시","wind","풍력","wind",0,0
2021,"경기","양주시","IGCC","IGCC","IGCC",0,0
2021,"경기","양주시","PV","태양광","PV",0,33747.6902453886
2021,"경기","양주시","bio","바이오","bio",0,0
2021,"경기","양주시","fuelcell","연료전지","fuelcell",0,0
2021,"경기","양주시","hydro","수력","hydro",0,0
2021,"경기","양주시","ocean","해양","ocean",0,0
2021,"경기","양주시","waste","폐기물","waste",0,7907.43212120652
2021,"경기","양주시","wind","풍력","wind",0,11.3606578616995
2021,"경기","양평군","IGCC","IGCC","IGCC",0,0
2021,"경기","양평군","PV","태양광","PV",0,45757.7234081476
2021,"경기","양평군","bio","바이오","bio",0,0
2021,"경기","양평군","fuelcell","연료전지","fuelcell",0,0
2021,"경기","양평군","hydro","수력","hydro",0,0
2021,"경기","양평군","ocean","해양","ocean",0,0
2021,"경기","양평군","waste","폐기물","waste",0,0
2021,"경기","양평군","wind","풍력","wind",0,0
2021,"경기","여주시","IGCC","IGCC","IGCC",0,0
2021,"경기","여주시","PV","태양광","PV",0,163616.461652276
2021,"경기","여주시","bio","바이오","bio",0,0
2021,"경기","여주시","fuelcell","연료전지","fuelcell",0,0
2021,"경기","여주시","hydro","수력","hydro",0,82837.05605
2021,"경기","여주시","ocean","해양","ocean",0,0
2021,"경기","여주시","waste","폐기물","waste",0,0
2021,"경기","여주시","wind","풍력","wind",0,0
2021,"경기","연천군","IGCC","IGCC","IGCC",0,0
2021,"경기","연천군","PV","태양광","PV",0,137896.773361933
2021,"경기","연천군","bio","바이오","bio",0,2756.624
2021,"경기","연천군","fuelcell","연료전지","fuelcell",0,0
2021,"경기","연천군","hydro","수력","hydro",0,5266.280314
2021,"경기","연천군","ocean","해양","ocean",0,0
2021,"경기","연천군","waste","폐기물","waste",0,1.92335567391451
2021,"경기","연천군","wind","풍력","wind",0,0
2021,"경기","오산시","IGCC","IGCC","IGCC",0,0
2021,"경기","오산시","PV","태양광","PV",0,13606.1041113448
2021,"경기","오산시","bio","바이오","bio",0,0
2021,"경기","오산시","fuelcell","연료전지","fuelcell",0,696.180078440812
2021,"경기","오산시","hydro","수력","hydro",0,0
2021,"경기","오산시","ocean","해양","ocean",0,0
2021,"경기","오산시","waste","폐기물","waste",0,0
2021,"경기","오산시","wind","풍력","wind",0,0
2021,"경기","용인시","IGCC","IGCC","IGCC",0,0
2021,"경기","용인시","PV","태양광","PV",0,69057.8649051255
2021,"경기","용인시","bio","바이오","bio",0,0
2021,"경기","용인시","fuelcell","연료전지","fuelcell",0,885.38029192565
2021,"경기","용인시","hydro","수력","hydro",0,133.453
2021,"경기","용인시","ocean","해양","ocean",0,0
2021,"경기","용인시","waste","폐기물","waste",0,11958.6850428485
2021,"경기","용인시","wind","풍력","wind",0,0
2021,"경기","의왕시","IGCC","IGCC","IGCC",0,0
2021,"경기","의왕시","PV","태양광","PV",0,4501.22173135913
2021,"경기","의왕시","bio","바이오","bio",0,0
2021,"경기","의왕시","fuelcell","연료전지","fuelcell",0,46245.2951358733
2021,"경기","의왕시","hydro","수력","hydro",0,0
2021,"경기","의왕시","ocean","해양","ocean",0,0
2021,"경기","의왕시","waste","폐기물","waste",0,0
2021,"경기","의왕시","wind","풍력","wind",0,0
2021,"경기","의정부시","IGCC","IGCC","IGCC",0,0
2021,"경기","의정부시","PV","태양광","PV",0,12497.8351860439
2021,"경기","의정부시","bio","바이오","bio",0,961.77672
2021,"경기","의정부시","fuelcell","연료전지","fuelcell",0,65.0635587327862
2021,"경기","의정부시","hydro","수력","hydro",0,0
2021,"경기","의정부시","ocean","해양","ocean",0,0
2021,"경기","의정부시","waste","폐기물","waste",0,3533.9613745388
2021,"경기","의정부시","wind","풍력","wind",0,0.766844405664717
2021,"경기","이천시","IGCC","IGCC","IGCC",0,0
