"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"139","41171-28341","경기도 안양시 만안구 안양동 371번지",7,202002,7350.545,7621.672,8,1201000000,6100314645
"140","41171-28342","경기도 안양시 만안구 안양동 371번지",7,202002,249.505,268,1,1100100000,214657557
"141","41171-28342","경기도 안양시 만안구 안양동 371번지",7,202002,7476.984,8047.464,8,1201000000,6100314802
"142","41171-28343","경기도 안양시 만안구 안양동 371번지",7,202002,111.646,115,1,1100100000,214657628
"143","41171-28343","경기도 안양시 만안구 안양동 371번지",7,202002,4464.981,5364.976,8,1201000000,6100315004
"144","41171-28344","경기도 안양시 만안구 안양동 371번지",7,202002,118.453,126,1,1100100000,214657450
"145","41171-28344","경기도 안양시 만안구 안양동 371번지",7,202002,4503.312,5109.501,8,1201000000,6100314551
"146","41171-28345","경기도 안양시 만안구 안양동 371번지",7,202002,256.312,279,1,1100100000,214657441
"147","41171-28345","경기도 안양시 만안구 안양동 371번지",7,202002,4116.121,4641.13,8,1201000000,6100314529
"148","41171-28346","경기도 안양시 만안구 안양동 371번지",7,202002,375.183,398,1,1100100000,214657600
"149","41171-28346","경기도 안양시 만안구 안양동 371번지",7,202002,6900.481,7791.989,8,1201000000,6100314949
"150","41171-28347","경기도 안양시 만안구 안양동 371번지",7,202002,159.996,170,1,1100100000,214657432
"151","41171-28347","경기도 안양시 만안구 안양동 371번지",7,202002,5310.422,5535.292,8,1201000000,6100314506
"152","41171-28348","경기도 안양시 만안구 안양동 371번지",7,202002,363.093,408,1,1100100000,214657664
"153","41171-28348","경기도 안양시 만안구 안양동 371번지",7,202002,8602.667,8984.206,8,1201000000,6100315034
"154","41171-28349","경기도 안양시 만안구 안양동 371번지",7,202002,275.414,302,1,1100100000,214657904
"155","41171-28349","경기도 안양시 만안구 안양동 371번지",7,202002,3031.493,3406.334,8,1201000000,6100315668
"156","41171-28350","경기도 안양시 만안구 안양동 371번지",7,202002,183.731,196,1,1100100000,242593975
"157","41171-28350","경기도 안양시 만안구 안양동 371번지",7,202002,6999.088,7281.039,8,1201000000,6100315084
"158","41171-28351","경기도 안양시 만안구 안양동 371번지",7,202002,197.046,211,1,1100100000,214657860
"159","41171-28351","경기도 안양시 만안구 안양동 371번지",7,202002,4066.627,4385.655,8,1201000000,6100315520
"160","41171-28352","경기도 안양시 만안구 안양동 371번지",7,202002,208.402,223,1,1100100000,214657780
"161","41171-28352","경기도 안양시 만안구 안양동 371번지",7,202002,1993.606,2469.592,8,1201000000,6100315285
"162","41171-28353","경기도 안양시 만안구 안양동 371번지",7,202002,222.958,239,1,1100100000,214657655
"163","41171-28353","경기도 안양시 만안구 안양동 371번지",7,202002,5456.195,6344.297,8,1201000000,6100315023
"164","41171-28354","경기도 안양시 만안구 안양동 371번지",7,202002,231.548,263,1,1100100000,214657753
"165","41171-28354","경기도 안양시 만안구 안양동 371번지",7,202002,2506.953,2682.488,8,1201000000,6100315230
"166","41171-28355","경기도 안양시 만안구 안양동 371번지",7,202002,353.355,367,1,1100100000,214657717
"167","41171-28355","경기도 안양시 만안구 안양동 371번지",7,202002,6864.746,7664.251,8,1201000000,6100315114
"168","41171-28356","경기도 안양시 만안구 안양동 371번지",7,202002,227.839,243,1,1100100000,214657842
"169","41171-28356","경기도 안양시 만안구 안양동 371번지",7,202002,6963.495,7493.935,8,1201000000,6100315460
"170","41171-28357","경기도 안양시 만안구 안양동 371번지",7,202002,214.191,229,1,1100100000,214657913
"171","41171-28357","경기도 안양시 만안구 안양동 371번지",7,202002,2185.642,2214.117,8,1201000000,6100315719
"172","41171-28358","경기도 안양시 만안구 안양동 371번지",7,202002,200.739,213,1,1100100000,214657879
"173","41171-28358","경기도 안양시 만안구 안양동 371번지",7,202002,6224.847,6684.93,8,1201000000,6100315574
"174","41171-28359","경기도 안양시 만안구 안양동 371번지",7,202002,135.102,147,1,1100100000,214657833
"175","41171-28359","경기도 안양시 만안구 안양동 371번지",7,202002,4464.713,4683.709,8,1201000000,6100315425
"176","41171-28360","경기도 안양시 만안구 안양동 371번지",7,202002,191.998,209,1,1100100000,242434718
"177","41171-28360","경기도 안양시 만안구 안양동 371번지",7,202002,5156.844,5875.926,8,1201000000,6100315323
"178","41171-28361","경기도 안양시 만안구 안양동 371번지",7,202002,274.095,292,1,1100100000,214657744
"179","41171-28361","경기도 안양시 만안구 안양동 371번지",7,202002,4665.203,4981.763,8,1201000000,6100315203
"180","41171-28362","경기도 안양시 만안구 안양동 371번지",7,202002,195.232,200,1,1100100000,214657824
"181","41171-28362","경기도 안양시 만안구 안양동 371번지",7,202002,2435.641,2767.646,8,1201000000,6100315401
"182","41171-28363","경기도 안양시 만안구 안양동 371번지",7,202002,90.141,95,1,1100100000,214657762
"183","41171-28363","경기도 안양시 만안구 안양동 371번지",7,202002,1754.799,2427.013,8,1201000000,6100315259
"184","41171-28364","경기도 안양시 만안구 안양동 371번지",7,202002,208.157,221,1,1100100000,214657735
"185","41171-28364","경기도 안양시 만안구 안양동 371번지",7,202002,4025.431,4343.076,8,1201000000,6100315179
"186","41171-28365","경기도 안양시 만안구 안양동 371번지",7,202002,243.191,260,1,1100100000,214657726
"187","41171-28365","경기도 안양시 만안구 안양동 371번지",7,202002,2847.501,3193.438,8,1201000000,6100315145
"188","41171-28366","경기도 안양시 만안구 안양동 371번지",7,202002,423.524,466,1,1100100000,245026010
"189","41171-28366","경기도 안양시 만안구 안양동 371번지",7,202002,2062.097,2086.379,8,1201000000,6100315603
"190","41171-28367","경기도 안양시 만안구 안양동 371번지",7,202002,275.664,296,1,1100100000,214657806
"191","41171-28367","경기도 안양시 만안구 안양동 371번지",7,202002,8860.964,9750.631,8,1201000000,6100315348
"192","41171-28368","경기도 안양시 만안구 안양동 371번지",7,202002,307.034,333,1,1100100000,214657851
"193","41171-28368","경기도 안양시 만안구 안양동 371번지",7,202002,826.473,809.0043,8,1201000000,6100315491
"194","41171-28369","경기도 안양시 만안구 안양동 371번지",7,202002,210.582,224,1,1100100000,214657897
"195","41171-28369","경기도 안양시 만안구 안양동 371번지",7,202002,4788.762,5109.501,8,1201000000,6100315633
"196","41171-28370","경기도 안양시 만안구 안양동 371번지",7,202002,123.554,132,1,1100100000,214657673
"197","41171-28370","경기도 안양시 만안구 안양동 371번지",7,202002,637.034,681.2668,8,1201000000,6100315057
"198","41171-28371","경기도 안양시 만안구 안양동 371번지",7,202002,255.79,271,1,1100100000,214657815
"199","41171-28371","경기도 안양시 만안구 안양동 371번지",7,202002,5950.194,6173.98,8,1201000000,6100315380
"200","41171-607","경기도 안양시 만안구 안양동 371번지",1,202002,18.009,18,1,1100100000,200723789
"201","41171-607","경기도 안양시 만안구 안양동 371번지",8,202002,40.191,43,1,1100100000,214657708
